Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,313950.000000,317030.000000,313950.000000,317030.000000,317030.000000,200
2019-09-19,316400.000000,317100.000000,313500.000000,315000.000000,315000.000000,100
2019-09-20,315000.000000,315000.000000,311500.000000,313700.000000,313700.000000,400
2019-09-23,311150.000000,313235.000000,309971.000000,313225.000000,313225.000000,200
2019-09-24,312000.000000,313423.000000,308885.000000,310356.000000,310356.000000,200
2019-09-25,309750.000000,312330.000000,309700.000000,311906.000000,311906.000000,100
2019-09-26,311906.000000,311906.000000,309671.000000,310250.000000,310250.000000,300
2019-09-27,311880.000000,312325.000000,310055.000000,311450.000000,311450.000000,100
2019-09-30,311450.000000,312970.000000,311390.000000,311832.000000,311832.000000,200
2019-10-01,313100.000000,314605.000000,309830.000000,310005.000000,310005.000000,200
2019-10-02,308600.000000,308600.000000,303665.000000,305090.000000,305090.000000,700
2019-10-03,304585.000000,307600.000000,302260.000000,307250.000000,307250.000000,600
2019-10-04,307887.000000,312524.000000,307887.000000,312524.000000,312524.000000,200
2019-10-07,311000.000000,312360.000000,309555.000000,310720.000000,310720.000000,100
2019-10-08,309400.000000,309400.000000,306040.000000,306539.000000,306539.000000,400
2019-10-09,307660.000000,310815.000000,307133.000000,310000.000000,310000.000000,200
2019-10-10,309700.000000,312120.000000,309540.000000,309974.000000,309974.000000,200
2019-10-11,313270.000000,315000.000000,312120.000000,312500.000000,312500.000000,400
2019-10-14,311700.000000,311971.000000,310500.000000,311640.000000,311640.000000,100
2019-10-15,311583.000000,315287.000000,311567.000000,314250.000000,314250.000000,300
2019-10-16,312725.000000,314925.000000,312725.000000,313850.000000,313850.000000,200
2019-10-17,313640.000000,314900.000000,312970.000000,313200.000000,313200.000000,200
2019-10-18,312807.000000,314400.000000,312595.000000,313270.000000,313270.000000,200
2019-10-21,315275.000000,317133.000000,315275.000000,317040.000000,317040.000000,300
2019-10-22,316300.000000,317867.000000,315888.000000,316180.000000,316180.000000,100
2019-10-23,316000.000000,316560.000000,314398.000000,316560.000000,316560.000000,300
2019-10-24,315250.000000,316855.000000,314619.000000,315027.000000,315027.000000,300
2019-10-25,315250.000000,318419.000000,315250.000000,317495.000000,317495.000000,400
2019-10-28,318000.000000,319923.000000,318000.000000,319055.000000,319055.000000,400
2019-10-29,318200.000000,319772.000000,318000.000000,319423.000000,319423.000000,500
2019-10-30,318735.000000,320015.000000,317490.000000,320000.000000,320000.000000,400
2019-10-31,319819.000000,320500.000000,317310.000000,318939.000000,318939.000000,500
2019-11-01,320250.000000,324850.000000,320000.000000,323400.000000,323400.000000,500
2019-11-04,326850.000000,327867.000000,325523.000000,326800.000000,326800.000000,300
2019-11-05,328000.000000,332500.000000,327500.000000,331500.000000,331500.000000,800
2019-11-06,331000.000000,333000.000000,330500.000000,332855.000000,332855.000000,400
2019-11-07,333720.000000,335000.000000,332600.000000,333860.000000,333860.000000,500
2019-11-08,333225.000000,333234.000000,329975.000000,331526.000000,331526.000000,200
2019-11-11,330380.000000,331650.000000,330380.000000,330986.000000,330986.000000,100
2019-11-12,331850.000000,333171.000000,330950.000000,331106.000000,331106.000000,100
2019-11-13,329150.000000,330025.000000,328240.000000,329402.000000,329402.000000,200
2019-11-14,329500.000000,329892.000000,327120.000000,329302.000000,329302.000000,200
2019-11-15,329400.000000,330269.000000,328455.000000,329405.000000,329405.000000,300
2019-11-18,330000.000000,330500.000000,327800.000000,329225.000000,329225.000000,200
2019-11-19,329860.000000,329900.000000,328315.000000,328601.000000,328601.000000,300
2019-11-20,327600.000000,327770.000000,324200.000000,326712.000000,326712.000000,300
2019-11-21,326000.000000,326703.000000,324580.000000,325102.000000,325102.000000,200
2019-11-22,325695.000000,326975.000000,325305.000000,326962.000000,326962.000000,100
2019-11-25,328000.000000,328900.000000,327521.000000,328301.000000,328301.000000,200
2019-11-26,328301.000000,328794.000000,326780.000000,328402.000000,328402.000000,200
2019-11-27,328875.000000,330910.000000,327720.000000,330685.000000,330685.000000,300
2019-11-29,330424.000000,330880.000000,329705.000000,330495.000000,330495.000000,300
2019-12-02,330802.000000,332008.000000,330374.000000,330609.000000,330609.000000,300
2019-12-03,327600.000000,328000.000000,324900.000000,327539.000000,327539.000000,200
2019-12-04,326782.000000,328100.000000,326780.000000,327501.000000,327501.000000,200
2019-12-05,328200.000000,329799.000000,327500.000000,329799.000000,329799.000000,200
2019-12-06,332870.000000,334460.000000,332600.000000,333640.000000,333640.000000,400
2019-12-09,333640.000000,334998.000000,331770.000000,331904.000000,331904.000000,200
2019-12-10,331904.000000,333005.000000,330670.000000,332120.000000,332120.000000,500
2019-12-11,331424.000000,333900.000000,331424.000000,333600.000000,333600.000000,300
2019-12-12,334330.000000,339770.000000,334330.000000,338800.000000,338800.000000,600
2019-12-13,337754.000000,339704.000000,336000.000000,338080.000000,338080.000000,200
2019-12-16,339850.000000,341785.000000,339313.000000,340380.000000,340380.000000,300
2019-12-17,340807.000000,341902.250000,340162.500000,340400.000000,340400.000000,208
